Video Title,Upload Date,, Likes , Comments 
The Weeknd & Ariana Grande - Die For You (Remix Acapella) [Official Audio],2-Mar-23,5:00 AM," 33,029 "," 1,513 "
The Weeknd: Live at SoFi Stadium - Die For You,16-Feb-23,5:00 PM," 75,222 "," 2,428 "
The Weeknd - Live At Sofi Stadium Trailer (HBO Concert Special),9-Feb-23,7:55 PM," 16,873 "," 1,011 "
is there someone else? video out now,12-Jan-23,2:49 AM," 22,374 ", 325 
After Hours Til Dawn Tour - First Leg Recap,2-Jan-23,6:12 PM," 47,395 "," 2,011 "
Avatar: The Way of Water l Nothing Is Lost (You Give Me Strength) by The Weeknd,7-Dec-22,5:03 PM," 78,430 "," 2,403 "
12.16.22,4-Dec-22,5:52 PM," 30,202 ", 445 
The Idol | Official Teaser 3 | HBO,6-Oct-22,7:09 PM," 39,215 "," 1,522 "
The Idol | Official Teaser 2 | HBO,21-Aug-22,5:06 PM," 61,694 "," 2,324 "
"The Weeknd, Summer Walker - Best Friends (Remix)",5-Aug-22,4:00 AM," 68,043 "," 2,136 "
The Weeknd - How Do I Make You Love Me (Sebastian Ingrosso & Salvatore Ganacci) (Official Audio),22-Jul-22,4:00 AM," 30,893 "," 1,115 "
The Idol | Official Teaser | HBO,17-Jul-22,3:27 PM," 85,258 "," 3,944 "
The Weeknd - Dawn FM (OPN Remix) (Official Audio),8-Jul-22,4:00 AM," 27,871 "," 1,282 "
The Weeknd - Starry Eyes (Mike Dean Remix) (Official Audio),1-Jul-22,4:00 AM," 51,531 "," 1,856 "
The Weeknd - Coachella 2022 (Full Set),19-May-22,5:00 PM," 240,915 "," 8,318 "
"The Weeknd - ""Out Of Time"" Premium Afterparty",11-Apr-22,4:09 PM," 26,499 ", 425 
MSCHF x THE WEEKND - VINYL BLADE (Out of Time),7-Apr-22,5:00 PM," 30,264 ", 772 
The Weeknd x The Dawn FM Experience - Less Than Zero,1-Mar-22,11:24 PM," 60,296 "," 2,042 "
The Weeknd x The Dawn FM Experience - Is There Someone Else,1-Mar-22,11:25 PM," 82,300 "," 1,826 "
The Weeknd x The Dawn FM Experience - Out of Time,28-Feb-22,11:38 PM," 75,453 "," 2,443 "
The Weeknd x The Dawn FM Experience - Take My Breath,28-Feb-22,11:40 PM," 46,793 "," 1,738 "
The Weeknd - Gasoline (XO Vision),18-Jan-22,5:32 PM," 50,729 "," 2,441 "
The Weeknd - Sacrifice (XO Vision),10-Jan-22,9:53 PM," 61,955 "," 2,503 "
The Weeknd - Every Angel Is Terrifying (Official Lyric Video),9-Jan-22,6:43 AM," 19,776 ", 597 
The Weeknd - Less Than Zero (Official Lyric Video),9-Jan-22,6:43 AM," 209,259 "," 5,709 "
The Weeknd - Out Of Time (Official Lyric Video),9-Jan-22,6:43 AM," 136,626 "," 3,490 "
The Weeknd - How Do I Make You Love Me? (Official LyricVideo),9-Jan-22,6:43 AM," 71,714 "," 1,143 "
The Weeknd - Best Friends (Official Lyric Video),9-Jan-22,6:43 AM," 67,717 "," 1,533 "
